dg_id,player_name,dk_salary,draftkings,total_rounds,sg_mean,year2023,year2022,year2021,year2020,year2019
14050,"Sloan, Roger",6500,17000,10,0.41,NA,NA,T14,T32,NA
18474,"Smalley, Alex",6900,9000,10,0.87,T16,CUT,T31,NA,NA
22985,"Smotherman, Austin",6600,15000,6,-0.25,CUT,T67,NA,NA,NA
8820,"Snedeker, Brandt",6200,30000,14,0.36,T65,NA,CUT,T17,T45
17536,"Spaun, J.J.",9900,3000,10,-0.45,NA,NA,68,CUT,T36
21995,"Springer, Hayden",6800,11000,0,NA,NA,NA,NA,NA,NA
25569,"Stevens, Samuel",8400,4000,6,-0.92,CUT,T67,NA,NA,NA
8480,"Streelman, Kevin",6400,20000,16,0.74,CUT,T24,T31,NA,T4
22050,"Suh, Justin",7000,11000,4,-2.68,NA,CUT,NA,NA,CUT
13997,"Svensson, Adam",8700,3500,16,0.39,T16,T54,CUT,NA,CUT
20519,"Tarren, Callum",6200,40000,10,0.3,T43,T13,CUT,NA,NA
19948,"Taylor, Ben",6200,50000,10,-0.52,T73,T39,NA,NA,CUT
8085,"Teater, Josh",6000,70000,4,-0.61,NA,NA,NA,NA,CUT
26649,"Thorbjornsen, Michael",7200,7000,0,NA,NA,NA,NA,NA,NA
17032,"Tosti, Alejandro",6400,20000,4,0.72,NA,T39,NA,NA,NA
13127,"Tway, Kevin",6600,15000,8,-1.55,CUT,CUT,CUT,CUT,NA
23816,"Valimaki, Sami",7000,8000,0,NA,NA,NA,NA,NA,NA
13508,"Vegas, Jhonattan",8600,3000,4,-0.76,NA,NA,NA,CUT,NA
9171,"Villegas, Camilo",6200,70000,8,0.22,CUT,NA,CUT,T23,NA
25908,"Whaley, Vince",7200,9000,20,-0.28,T28,T61,T65,64,T45
20353,"Whitney, Tom",6200,50000,0,NA,NA,NA,NA,NA,NA
7097,"Wilkinson, Tim",6000,200000,8,-2.26,NA,NA,NA,CUT,CUT
12577,"Woodland, Gary",7000,8000,4,-0.14,NA,CUT,CUT,NA,NA
25213,"Wu, Brandon",6500,15000,10,0.2,T62,T39,CUT,NA,NA
25002,"Wu, Dylan",6900,12000,8,-0.15,CUT,T67,CUT,NA,NA
24354,"Xiong, Norman",6300,20000,4,1.05,NA,NA,NA,NA,NA
23656,"Young, Carson",6700,12000,6,-1.08,CUT,77,NA,NA,NA
17881,"Yu, Kevin",7100,11000,6,0.09,CUT,T19,NA,NA,NA
17266,"Yuan, Carl",6200,15000,6,0.81,T6,CUT,NA,NA,NA
